frame.time_epoch,frame.len,frame.time_delta,ip.src,ip.dst,ip.proto,ip.ttl,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size,tcp.seq,tcp.ack,tcp.len,udp.srcport,udp.dstport,udp.length,icmp.type,icmp.code,dns.qry.name,dns.flags.response,dns.qry.type
frame.time_epoch,frame.len,frame.time_delta,ip.src,ip.dst,ip.proto,ip.ttl,tcp.srcport,tcp.dstport,tcp.flags,tcp.window_size,tcp.seq,tcp.ack,tcp.len,udp.srcport,udp.dstport,udp.length,icmp.type,icmp.code,dns.qry.name,dns.flags.response,dns.qry.type
1764298307.857362000,66,,10.131.109.94,172.16.117.96,6,128,51313,7680,0x0002,65535,0,0,0,,,,,,,,
1764298307.871919000,66,0.014557000,10.131.109.94,172.16.117.96,6,128,51314,7680,0x0002,65535,0,0,0,,,,,,,,
1764298308.126189000,89,0.254270000,10.131.109.94,10.131.109.163,17,128,,,,,,,,52353,53,55,,,v20.events.data.microsoft.com,False,1
1764298308.126987000,89,0.000798000,10.131.109.94,10.131.109.163,17,128,,,,,,,,52329,53,55,,,v20.events.data.microsoft.com,False,28
1764298308.178271000,54,0.051284000,34.139.124.58,10.131.109.94,6,59,443,64333,0x0014,0,1,1,0,,,,,,,,
1764298308.186508000,229,0.008237000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,52353,195,,,v20.events.data.microsoft.com,True,1
1764298308.187278000,241,0.000770000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,52329,207,,,v20.events.data.microsoft.com,True,28
1764298308.248040000,81,0.060762000,10.131.109.94,10.131.109.163,17,128,,,,,,,,55900,53,47,,,config.edge.skype.com,False,65
1764298308.248946000,81,0.000906000,10.131.109.94,10.131.109.163,17,128,,,,,,,,61221,53,47,,,config.edge.skype.com,False,28
1764298308.249209000,81,0.000263000,10.131.109.94,10.131.109.163,17,128,,,,,,,,52248,53,47,,,config.edge.skype.com,False,1
1764298308.277162000,256,0.027953000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,61221,222,,,config.edge.skype.com,True,28
1764298308.281257000,271,0.004095000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,55900,237,,,config.edge.skype.com,True,65
1764298308.285036000,244,0.003779000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,52248,210,,,config.edge.skype.com,True,1
1764298308.315366000,78,0.030330000,10.131.109.94,10.131.109.163,17,128,,,,,,,,62496,53,44,,,edge.microsoft.com,False,65
1764298308.316124000,78,0.000758000,10.131.109.94,10.131.109.163,17,128,,,,,,,,57119,53,44,,,edge.microsoft.com,False,28
1764298308.316384000,78,0.000260000,10.131.109.94,10.131.109.163,17,128,,,,,,,,58284,53,44,,,edge.microsoft.com,False,1
1764298308.341510000,202,0.025126000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,57119,168,,,edge.microsoft.com,True,28
1764298308.346075000,178,0.004565000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,58284,144,,,edge.microsoft.com,True,1
1764298308.348905000,179,0.002830000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,62496,145,,,edge.microsoft.com,True,65
1764298308.426503000,80,0.077598000,10.131.109.94,10.131.109.163,17,128,,,,,,,,56551,53,46,,,substrate.office.com,False,65
1764298308.426894000,80,0.000391000,10.131.109.94,10.131.109.163,17,128,,,,,,,,60375,53,46,,,substrate.office.com,False,28
1764298308.427131000,80,0.000237000,10.131.109.94,10.131.109.163,17,128,,,,,,,,65501,53,46,,,substrate.office.com,False,1
1764298308.467090000,254,0.039959000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,65501,220,,,substrate.office.com,True,1
1764298308.468814000,259,0.001724000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,56551,225,,,substrate.office.com,True,65
1764298308.469693000,362,0.000879000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,60375,328,,,substrate.office.com,True,28
1764298308.694638000,72,0.224945000,10.131.109.94,10.131.109.163,17,128,,,,,,,,65448,53,38,,,www.bing.com,False,65
1764298308.695341000,72,0.000703000,10.131.109.94,10.131.109.163,17,128,,,,,,,,53017,53,38,,,www.bing.com,False,28
1764298308.695618000,72,0.000277000,10.131.109.94,10.131.109.163,17,128,,,,,,,,59170,53,38,,,www.bing.com,False,1
1764298308.727063000,241,0.031445000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,59170,207,,,www.bing.com,True,1
1764298308.730015000,277,0.002952000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,53017,243,,,www.bing.com,True,28
1764298308.732398000,254,0.002383000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,65448,220,,,www.bing.com,True,65
1764298308.820522000,91,0.088124000,10.131.109.94,10.131.109.163,17,128,,,,,,,,63068,53,57,,,settings-win.data.microsoft.com,False,1
1764298308.821389000,91,0.000867000,10.131.109.94,10.131.109.163,17,128,,,,,,,,50828,53,57,,,settings-win.data.microsoft.com,False,28
1764298308.847363000,222,0.025974000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,63068,188,,,settings-win.data.microsoft.com,True,1
1764298308.849515000,234,0.002152000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,50828,200,,,settings-win.data.microsoft.com,True,28
1764298308.977321000,78,0.127806000,10.131.109.94,10.131.109.163,17,128,,,,,,,,63091,53,44,,,edge.microsoft.com,False,65
1764298308.977639000,78,0.000318000,10.131.109.94,10.131.109.163,17,128,,,,,,,,51918,53,44,,,edge.microsoft.com,False,28
1764298308.977853000,78,0.000214000,10.131.109.94,10.131.109.163,17,128,,,,,,,,58189,53,44,,,edge.microsoft.com,False,1
1764298309.008017000,178,0.030164000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,58189,144,,,edge.microsoft.com,True,1
1764298309.009387000,179,0.001370000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,63091,145,,,edge.microsoft.com,True,65
1764298309.010410000,202,0.001023000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,51918,168,,,edge.microsoft.com,True,28
1764298309.235793000,72,0.225383000,10.131.109.94,10.131.109.163,17,128,,,,,,,,54050,53,38,,,www.bing.com,False,65
1764298309.236536000,72,0.000743000,10.131.109.94,10.131.109.163,17,128,,,,,,,,55450,53,38,,,www.bing.com,False,28
1764298309.236786000,72,0.000250000,10.131.109.94,10.131.109.163,17,128,,,,,,,,55967,53,38,,,www.bing.com,False,1
1764298309.241215000,283,0.004429000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,55450,249,,,www.bing.com,True,28
1764298309.241463000,247,0.000248000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,55967,213,,,www.bing.com,True,1
1764298309.263839000,254,0.022376000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,54050,220,,,www.bing.com,True,65
1764298309.386789000,54,0.122950000,34.139.124.58,10.131.109.94,6,59,443,51308,0x0014,0,1,1,0,,,,,,,,
1764298309.879702000,89,0.492913000,10.131.109.94,10.131.109.163,17,128,,,,,,,,63068,53,55,,,v10.events.data.microsoft.com,False,1
1764298309.880033000,89,0.000331000,10.131.109.94,10.131.109.163,17,128,,,,,,,,50828,53,55,,,v10.events.data.microsoft.com,False,28
1764298309.901799000,241,0.021766000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,50828,207,,,v10.events.data.microsoft.com,True,28
1764298309.904443000,226,0.002644000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,63068,192,,,v10.events.data.microsoft.com,True,1
1764298311.757278000,92,1.852835000,10.131.109.94,10.131.109.163,17,128,,,,,,,,53082,53,58,,,mobile.events.data.microsoft.com,False,28
1764298311.757855000,92,0.000577000,10.131.109.94,10.131.109.163,17,128,,,,,,,,50870,53,58,,,mobile.events.data.microsoft.com,False,1
1764298311.758071000,92,0.000216000,10.131.109.94,10.131.109.163,17,128,,,,,,,,58279,53,58,,,mobile.events.data.microsoft.com,False,65
1764298311.781008000,224,0.022937000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,53082,190,,,mobile.events.data.microsoft.com,True,28
1764298311.787505000,212,0.006497000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,50870,178,,,mobile.events.data.microsoft.com,True,1
1764298311.793157000,269,0.005652000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,58279,235,,,mobile.events.data.microsoft.com,True,65
1764298312.557811000,85,0.764654000,10.131.109.94,10.131.109.163,17,128,,,,,,,,50828,53,51,,,fd.api.iris.microsoft.com,False,1
1764298312.557978000,85,0.000167000,10.131.109.94,10.131.109.163,17,128,,,,,,,,63068,53,51,,,fd.api.iris.microsoft.com,False,28
1764298312.597163000,208,0.039185000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,50828,174,,,fd.api.iris.microsoft.com,True,1
1764298312.597452000,221,0.000289000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,63068,187,,,fd.api.iris.microsoft.com,True,28
1764298312.867359000,54,0.269907000,172.16.117.96,10.131.109.94,6,59,7680,51313,0x0014,0,1,1,0,,,,,,,,
1764298312.867359000,54,0.000000000,172.16.117.96,10.131.109.94,6,59,7680,51314,0x0014,0,1,1,0,,,,,,,,
1764298313.381917000,66,0.514558000,10.131.109.94,172.16.117.96,6,128,51313,7680,0x0002,65535,0,0,0,,,,,,,,
1764298313.382633000,66,0.000716000,10.131.109.94,172.16.117.96,6,128,51314,7680,0x0002,65535,0,0,0,,,,,,,,
1764298314.820672000,76,1.438039000,10.131.109.94,10.131.109.163,17,128,,,,,,,,50828,53,42,,,tse1.mm.bing.net,False,1
1764298314.821042000,76,0.000370000,10.131.109.94,10.131.109.163,17,128,,,,,,,,63068,53,42,,,tse1.mm.bing.net,False,28
1764298314.847874000,184,0.026832000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,50828,150,,,tse1.mm.bing.net,True,1
1764298314.849723000,208,0.001849000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,63068,174,,,tse1.mm.bing.net,True,28
1764298316.402110000,71,1.552387000,10.131.109.94,10.131.109.163,17,128,,,,,,,,52553,53,37,,,ntp.msn.com,False,28
1764298316.402793000,71,0.000683000,10.131.109.94,10.131.109.163,17,128,,,,,,,,61540,53,37,,,ntp.msn.com,False,1
1764298316.412858000,71,0.010065000,10.131.109.94,10.131.109.163,17,128,,,,,,,,56708,53,37,,,ntp.msn.com,False,65
1764298316.413326000,71,0.000468000,10.131.109.94,10.131.109.163,17,128,,,,,,,,64679,53,37,,,ntp.msn.com,False,28
1764298316.413531000,71,0.000205000,10.131.109.94,10.131.109.163,17,128,,,,,,,,59608,53,37,,,ntp.msn.com,False,1
1764298316.416001000,94,0.002470000,10.131.109.94,10.131.109.163,17,128,,,,,,,,52734,53,60,,,prod.rewardsplatform.microsoft.com,False,65
1764298316.416910000,94,0.000909000,10.131.109.94,10.131.109.163,17,128,,,,,,,,53093,53,60,,,prod.rewardsplatform.microsoft.com,False,28
1764298316.417212000,94,0.000302000,10.131.109.94,10.131.109.163,17,128,,,,,,,,61103,53,60,,,prod.rewardsplatform.microsoft.com,False,1
1764298316.443820000,260,0.026608000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,52553,226,,,ntp.msn.com,True,28
1764298316.444555000,236,0.000735000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,61540,202,,,ntp.msn.com,True,1
1764298316.449011000,260,0.004456000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,64679,226,,,ntp.msn.com,True,28
1764298316.449728000,265,0.000717000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,56708,231,,,ntp.msn.com,True,65
1764298316.450511000,236,0.000783000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,59608,202,,,ntp.msn.com,True,1
1764298316.451263000,234,0.000752000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,52734,200,,,prod.rewardsplatform.microsoft.com,True,65
1764298316.451875000,177,0.000612000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,61103,143,,,prod.rewardsplatform.microsoft.com,True,1
1764298316.452670000,189,0.000795000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,53093,155,,,prod.rewardsplatform.microsoft.com,True,28
1764298316.760064000,87,0.307394000,10.131.109.94,10.131.109.163,17,128,,,,,,,,55570,53,53,,,img-s-msn-com.akamaized.net,False,65
1764298316.760763000,87,0.000699000,10.131.109.94,10.131.109.163,17,128,,,,,,,,58315,53,53,,,img-s-msn-com.akamaized.net,False,28
1764298316.761042000,87,0.000279000,10.131.109.94,10.131.109.163,17,128,,,,,,,,55227,53,53,,,img-s-msn-com.akamaized.net,False,1
1764298316.761422000,84,0.000380000,10.131.109.94,10.131.109.163,17,128,,,,,,,,49967,53,50,,,sb.scorecardresearch.com,False,65
1764298316.761608000,84,0.000186000,10.131.109.94,10.131.109.163,17,128,,,,,,,,61838,53,50,,,sb.scorecardresearch.com,False,28
1764298316.761815000,84,0.000207000,10.131.109.94,10.131.109.163,17,128,,,,,,,,49306,53,50,,,sb.scorecardresearch.com,False,1
1764298316.762128000,71,0.000313000,10.131.109.94,10.131.109.163,17,128,,,,,,,,51211,53,37,,,th.bing.com,False,65
1764298316.762324000,71,0.000196000,10.131.109.94,10.131.109.163,17,128,,,,,,,,54431,53,37,,,th.bing.com,False,28
1764298316.762536000,71,0.000212000,10.131.109.94,10.131.109.163,17,128,,,,,,,,63793,53,37,,,th.bing.com,False,1
1764298316.781735000,185,0.019199000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,55570,151,,,img-s-msn-com.akamaized.net,True,65
1764298316.787218000,176,0.005483000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,58315,142,,,img-s-msn-com.akamaized.net,True,28
1764298316.788523000,165,0.001305000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,49967,131,,,sb.scorecardresearch.com,True,65
1764298316.789717000,148,0.001194000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,49306,114,,,sb.scorecardresearch.com,True,1
1764298316.791174000,152,0.001457000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,55227,118,,,img-s-msn-com.akamaized.net,True,1
1764298316.791950000,196,0.000776000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,61838,162,,,sb.scorecardresearch.com,True,28
1764298316.792738000,272,0.000788000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,54431,238,,,th.bing.com,True,28
1764298316.792872000,72,0.000134000,10.131.109.94,10.131.109.163,17,128,,,,,,,,64904,53,38,,,www.bing.com,False,65
1764298316.793248000,72,0.000376000,10.131.109.94,10.131.109.163,17,128,,,,,,,,52127,53,38,,,www.bing.com,False,28
1764298316.793438000,236,0.000190000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,63793,202,,,th.bing.com,True,1
1764298316.793509000,72,0.000071000,10.131.109.94,10.131.109.163,17,128,,,,,,,,55132,53,38,,,www.bing.com,False,1
1764298316.794147000,249,0.000638000,10.131.109.163,10.131.109.94,17,64,,,,,,,,53,51211,215,,,th.bing.com,True,65
1764298316.794276000,69,0.000129000,10.131.109.94,10.131.109.163,17,128,,,,,,,,60495,53,35,,,c.msn.com,False,65
